app,category,scenario,simT,precision,recall
a13,Browser,b12,0.30,66.67,50.00
a13,Browser,b12,0.30,66.67,50.00
a13,Browser,b12,0.30,66.67,50.00
a13,Browser,b12,0.30,66.67,50.00
a13,Browser,b12,0.30,66.67,50.00
a13,Browser,b12,0.30,66.67,50.00
a13,Browser,b12,0.30,66.67,50.00
a13,Browser,b12,0.30,66.67,50.00
a13,Browser,b12,0.30,66.67,50.00
a13,Browser,b12,0.30,66.67,50.00
a15,Browser,b12,0.20,21.62,77.78
a15,Browser,b12,0.20,26.92,66.67
a15,Browser,b12,0.20,21.62,77.78
a15,Browser,b12,0.20,21.62,77.78
a15,Browser,b12,0.20,26.92,66.67
a15,Browser,b12,0.20,26.92,66.67
a15,Browser,b12,0.20,26.92,66.67
a15,Browser,b12,0.20,26.92,66.67
a15,Browser,b12,0.20,26.92,66.67
a11,Browser,b12,0.20,50.00,100.00
a11,Browser,b12,0.20,50.00,100.00
a11,Browser,b12,0.20,50.00,100.00
a11,Browser,b12,0.20,50.00,100.00
a11,Browser,b12,0.20,50.00,100.00
a11,Browser,b12,0.20,50.00,100.00
a11,Browser,b12,0.20,50.00,100.00
a11,Browser,b12,0.20,50.00,100.00
a11,Browser,b12,0.20,50.00,100.00
a14,Browser,b12,0.20,50.00,33.33
a14,Browser,b12,0.20,50.00,33.33
a14,Browser,b12,0.20,50.00,33.33
a14,Browser,b12,0.20,50.00,33.33
a14,Browser,b12,0.20,50.00,33.33
a14,Browser,b12,0.20,50.00,33.33
a14,Browser,b12,0.20,14.81,100.00
a14,Browser,b12,0.20,50.00,33.33
a14,Browser,b12,0.20,14.81,100.00
a14,Browser,b12,0.20,50.00,33.33
a13,Browser,b12,0.20,40.00,75.00
a13,Browser,b12,0.20,33.33,75.00
a13,Browser,b12,0.20,33.33,75.00
a13,Browser,b12,0.20,33.33,75.00
a13,Browser,b12,0.20,66.67,50.00
a13,Browser,b12,0.20,40.00,75.00
a13,Browser,b12,0.20,33.33,75.00
a13,Browser,b12,0.20,33.33,75.00
a13,Browser,b12,0.20,33.33,75.00
a13,Browser,b12,0.20,30.00,75.00
a15,Browser,b12,0.25,90.00,77.78
a15,Browser,b12,0.25,90.00,77.78
a15,Browser,b12,0.25,90.00,77.78
a15,Browser,b12,0.25,24.00,88.89
a11,Browser,b12,0.25,33.33,66.67
a11,Browser,b12,0.25,33.33,66.67
a11,Browser,b12,0.25,33.33,66.67
a11,Browser,b12,0.25,33.33,66.67
a14,Browser,b12,0.25,33.33,100.00
a14,Browser,b12,0.25,33.33,100.00
a14,Browser,b12,0.25,33.33,100.00
a14,Browser,b12,0.25,33.33,100.00
a13,Browser,b12,0.25,66.67,50.00
a13,Browser,b12,0.25,66.67,50.00
a13,Browser,b12,0.25,66.67,50.00
a13,Browser,b12,0.25,66.67,50.00
a15,Browser,b12,0.10,50.00,66.67
a15,Browser,b12,0.10,87.50,55.56
a15,Browser,b12,0.10,87.50,55.56
a15,Browser,b12,0.10,29.63,77.78
a15,Browser,b12,0.10,29.63,77.78
a15,Browser,b12,0.10,47.06,66.67
a11,Browser,b12,0.10,50.00,100.00
a11,Browser,b12,0.10,50.00,100.00
a11,Browser,b12,0.10,25.00,100.00
a11,Browser,b12,0.10,50.00,100.00
a11,Browser,b12,0.10,50.00,100.00
a11,Browser,b12,0.10,50.00,100.00
a11,Browser,b12,0.10,50.00,100.00
a14,Browser,b12,0.10,50.00,33.33
a14,Browser,b12,0.10,50.00,33.33
a14,Browser,b12,0.10,50.00,33.33
a14,Browser,b12,0.10,50.00,33.33
a14,Browser,b12,0.10,50.00,33.33
a14,Browser,b12,0.10,50.00,33.33
a13,Browser,b12,0.10,33.33,75.00
a13,Browser,b12,0.10,0,0
a13,Browser,b12,0.10,40.00,75.00
a13,Browser,b12,0.10,33.33,75.00
a13,Browser,b12,0.10,33.33,75.00
a13,Browser,b12,0.10,40.00,75.00
a13,Browser,b12,0.10,30.00,75.00
a15,Browser,b12,0.15,57.14,66.67
a15,Browser,b12,0.15,87.50,55.56
a15,Browser,b12,0.15,87.50,55.56
a15,Browser,b12,0.15,25.00,77.78
a15,Browser,b12,0.15,57.14,66.67
a15,Browser,b12,0.15,57.14,66.67
a15,Browser,b12,0.15,57.14,66.67
a15,Browser,b12,0.15,57.14,66.67
a15,Browser,b12,0.15,30.30,88.89
a15,Browser,b12,0.15,50.00,66.67
